Former Czechoslovakia;15254680;15311600;15351750;15388260;15423300;15454790;15480920;15510920;15537000;15559010;15572130;15586770;15618590;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Grenada;90160;92350;92410;92530;92740;93060;93550;94060;94290;94300;94200;94060;94650;95760;96750;97740;98650;99570;100390;100990;101610;102290;102840;103320;103970;104590;105200;105890;106560;107200;107820
Argentina;28369800;28848060;29329880;29793550;30230640;30671760;31144990;31624620;32099320;32571620;33035580;33504410;33966850;34407150;34846890;35273840;35682960;36102160;36517920;36923420;37335650;37694170;37999450;38336880;38741830;39181260;39614430;40048820;40482000;40913580;41343200
Sao Tome and Principe;94070;96440;98240;100130;102120;104190;106350;108600;110940;113380;115930;118600;120910;122850;124920;127140;129530;132090;134800;137670;140690;143850;147130;150510;153970;157510;161110;164750;168420;172100;175810
Peru;17295300;17754800;18172520;18591450;19010880;19431930;19855490;20280360;20710660;21150700;21599750;22057020;22521650;22992690;23469190;23942190;24402120;24847150;25275710;25686290;26086700;26485330;26881710;27275200;27665180;28051110;28432590;28809300;29180900;29546960;29907000
Canada;24593300;24900000;25201900;25456300;25701800;25941600;26203800;26549700;26894800;27379300;27790600;28117900;28544890;28953340;29330810;29690530;30026320;30305600;30551660;30820260;31099560;31376740;31640960;31889310;32134760;32386380;32656680;32935960;33212700;33487210;33759740
Nicaragua;2805650;2901730;2979910;3049180;3121770;3190840;3263710;3345370;3435060;3531930;3685130;3873060;4019590;4142310;4264260;4384620;4500760;4611880;4719740;4827220;4935150;5042620;5149980;5257010;5363490;5469180;5574590;5680210;5785850;5891200;5995930
Portugal;9777800;9850080;9859650;9872240;9885390;9897190;9907410;9915290;9920610;9923150;9922690;9919010;9927680;9967830;10027690;10065540;10099920;10156420;10224830;10283380;10335600;10386750;10433870;10479960;10524150;10566210;10605870;10642840;10676910;10707920;10735770
Uganda;12414720;12725250;13078930;13470390;13919510;14391740;14910720;15520090;16176420;16832380;17455760;18082140;18729450;19424380;20127590;20689520;21248720;21861010;22502140;23227670;23955820;24690000;25469580;26321960;27233660;28199390;29206500;30262610;31367970;32369560;33398680
Bermuda;54730;54910;55170;55510;55850;56180;56510;56830;57170;57490;57780;58100;58700;59240;59750;60290;60870;61450;61980;62510;63060;63610;64180;64760;65340;65910;66440;66920;67390;67840;68270
Korea, South;38124000;38723000;39326000;39910000;40406000;40806000;41214000;41622000;42031000;42449000;42869000;43339910;43837120;44307040;44718900;45105080;45467970;45807830;46151510;46485420;46838840;47177810;47437280;47656630;47853850;48005160;48123560;48250150;48379390;48508970;48636070
Georgia;--;--;--;--;--;--;--;--;--;--;--;--;5355290;5247620;5120810;5012950;4934570;4883480;4848500;4815670;4777210;4746160;4728360;4710920;4693890;4677400;4661470;4646000;4630840;4615810;4600830
Belize;144420;149210;153300;156850;160810;165560;171240;176350;181400;186430;190870;195750;200820;206090;211550;217170;222970;228950;235130;241480;248000;254640;261300;267960;274620;281290;287950;294610;301270;307900;314520
Belarus;--;--;--;--;--;--;--;--;--;--;--;--;10227860;10250440;10238350;10205230;10170970;10128840;10092030;10063950;10033700;9999790;9955190;9905210;9855950;9809130;9765740;9724720;9685770;9648530;9612630
Djibouti;326870;344830;356160;370120;374610;382220;396510;409460;417150;442450;499190;551980;547090;534430;546890;553030;568430;592490;620880;646260;669420;692990;716350;690780;657410;666400;679140;694380;709200;724620;740530
Angola;6743080;6879570;7018530;7240540;7442450;7584710;7748630;7878400;8023390;8153840;8296610;8496810;8741840;8966260;9172280;9419120;9650610;9855580;10039170;10215440;10377270;10538390;10760510;11057090;11391130;11706950;11992810;12263600;12531360;12799290;13068160
Cook Islands;18010;17650;17440;17490;17740;17490;17650;17670;17910;18150;18390;18640;18580;18510;18420;18310;18180;17870;17380;16860;16310;15730;15150;14600;14090;13600;13130;12690;12270;11870;11490
Guinea;4447370;4540360;4636010;4734400;4953580;5226740;5394330;5528410;5666830;5809690;6118450;6552470;6800520;6989110;7209490;7445700;7701570;7791060;7906610;8154400;8350410;8416920;8520300;8755540;8971980;9153730;9345730;9569220;9806510;10057980;10324030
Burundi;4298210;4477760;4584910;4705200;4816830;4921760;5018860;5144520;5278840;5404370;5535640;5674380;5856490;5685430;5749680;6164950;6203730;6243640;6417430;6631140;6822700;7043020;7286790;7552650;7858730;8161940;8464510;8782940;9139310;9511330;9863120
Tanzania;18665060;19212000;19776790;20368420;20984090;21618430;22284170;23016720;23763760;24484890;25214280;25972540;26767470;27696590;28797660;29752900;30392140;31092650;31950960;32808030;33712120;34567250;35383100;36198790;36989970;37770570;38568530;39384220;40213160;41048530;41892900
Thailand;47025760;47936500;48827160;49694250;50533780;51341810;52129480;52910340;53683430;54445690;55196720;55941960;56692810;57442960;58191060;58942280;59674970;60367360;61037910;61634190;62156740;62685140;63213120;63730550;64240840;64742600;65235010;65717020;66187260;66644810;67089500
Iran;39708730;41450820;43218240;44989320;46792080;48618940;50464350;52340190;54178260;55926670;58100100;60496430;62310080;63099660;63460370;64217270;65115780;66041880;66953740;67803930;68631550;69531530;70283740;70811830;71439500;72282710;73184400;74093270;75025360;75967610;76923300
Turkmenistan;--;--;--;--;--;--;--;--;--;--;--;--;3830230;3917960;4003900;4078730;4142670;4200610;4262260;4324690;4385490;4444580;4502620;4556130;4608470;4664160;4719510;4774230;4829330;4884890;4940920
Vietnam;53715200;54902680;56142180;57436350;58762040;60093070;61439830;62826490;64211350;65868480;67258110;68638270;69979720;71285150;72559540;73783390;74946550;76052860;77107500;78141670;79177980;80209480;81257960;82296590;83352450;84424930;85470540;86518850;87558360;88576760;89571130
Equatorial Guinea;256010;271780;285480;299580;314640;325190;333650;342470;351650;361190;371100;381380;392020;403040;414440;426230;438420;451030;464060;477540;491480;505920;520760;535930;551420;567230;583350;599760;616460;633440;650700
Reunion;510000;510000;520000;530000;540000;550000;560000;570000;570000;590000;600000;607000;620000;630000;640000;650000;660000;670000;680000;700000;720000;732570;743870;755170;766150;766150;766150;766150;766150;766150;766150
Kyrgyzstan;--;--;--;--;--;--;--;--;--;--;--;--;4495440;4490210;4486190;4532220;4598190;4663480;4729900;4796570;4851050;4901330;4959160;5019150;5081430;5146280;5213900;5284150;5356870;5431750;5508630
Puerto Rico;3209650;3238970;3279000;3316030;3350040;3382110;3413300;3444470;3474990;3505600;3536910;3562110;3585180;3615500;3649240;3683100;3724660;3759430;3781100;3800080;3814410;3837770;3858270;3876640;3893930;3910720;3926740;3941240;3954550;3967290;3978700
Tonga;91360;91770;92200;92630;92880;93350;93740;94000;93320;92780;92120;91260;92140;93780;94440;95200;96200;97440;98870;100510;102350;104260;106160;108170;110260;112450;114710;116940;119010;120900;122580
Greenland;50210;51030;51660;52110;52630;53150;53640;54100;54850;55410;55630;55540;55490;55640;55920;56190;56340;56510;56610;56700;56890;57130;57360;57540;57700;57780;57640;57530;57560;57600;57640
Rwanda;5139840;5308990;5483280;5663170;5833740;5986590;6161710;6372800;6597220;6816860;6999320;7143740;7298570;7596680;6505530;5472980;6546460;7647420;8041840;8222350;8398410;8610980;8857370;9098470;9361250;9611070;9857220;10141080;10440770;10746310;11055980
Dominica;73890;73520;73810;74290;73990;73110;72380;71820;71340;70510;70010;70120;70280;70420;70920;71420;71000;70280;70040;70350;70820;71210;71530;71730;71930;72120;72250;72380;72510;72660;72810
Mauritius;963700;979050;992040;1002180;1012040;1020540;1028230;1036270;1044940;1053400;1061600;1071720;1084810;1098640;1111300;1123120;1135340;1148350;1160660;1173130;1185930;1197880;1209590;1221000;1232060;1242820;1253430;1263900;1274190;1284260;1294100
Syria;8752410;9049230;9386650;9735120;10094940;10466140;10848570;11242970;11646010;12052940;12500000;12933130;13311650;13685180;14061430;14448570;14843700;15244450;15649850;16058940;16471240;16885070;17299820;17715350;18136820;18562670;19322690;20487720;21324860;21762980;22198110
Singapore;2413900;2535370;2651870;2689260;2743300;2749900;2750070;2794550;2869270;2957750;3047100;3144580;3235870;3328150;3427980;3542870;3672280;3802310;3904530;3967750;4036750;4120230;4197780;4276790;4353890;4425720;4492150;4553010;4608170;4657540;4701070
